Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
10u,Capacitor SMD 0805 16V,C9,CAP_0805,CAP_0805_16V,1,C440198
100u,Capacitor SMD 0805 6V3,"C1, C2, C6, C8",CAP_0805,CAP_0805_6V3,4,C141660
100p,Capacitor SMD 0603 50V,C3,CAP_0603,CAP_0603_50V,1,C1635
10n,Capacitor SMD 0603 50V,"C4, C5, C7",CAP_0603,CAP_0603_50V,3,C82282
100n,Capacitor SMD 0402 50V,"C10, C11, C12, C13, C14",CAP_0402,CAP_0402_50V,5,C1525
PESD0402-140,Diode TVS / ESD 0402,"D1, D3, D4",D_0402,D_TVS_0402,3,C10662
1N5819WS,Diode Schottky SMD SOD-323,D2,SOD-323,D_SCHOTTKY_SOD_323,1,C191023
2SK208,JFET N-CH 35V 350MW SOT23,"Q1, Q2",FP-318BM-IPC_C,CMP-07172-000001-1,2,C112988
MMBT5401LT1G,"High Voltage Transistor, PNP Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel","Q3, Q4, Q5, Q6, Q10, Q11, Q12",ONSC-SOT-23-3-318-08_V,CMP-1048-00557-1,7,C21488
MMBT5551LT1,"High Voltage Transistor, NPN Silicon, 3-Pin SOT-23, Tape and Reel","Q7, Q8, Q9",ONSC-SOT-23-3-318-08_V,CMP-1048-00660-1,3,C41095
100R,Resistor SMD 0603,"R1, R2, R7, R9, R10, R11, R12, R13, R14, R15, R16, R17, R19",RES_0603,RES_0603,13,C122970
1M,Resistor SMD 0603,"R3, R4",RES_0603,RES_0603,2,C335092
1k,Resistor SMD 0603,"R5, R6, R18",RES_0603,RES_0603,3,C328422
8k2,Resistor SMD 0603,"R8, R20",RES_0603,RES_0603,2,C218173
